"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","UMAP1","UMAP2","cluster"
"X1121_T4",35.0134798920098,108.735581635899,-13.0543894606629,0.188321029431735,2.68132627601238,-19.1294368657894,-5.00052509555507,19.3263881847362,18.9168196618589,-12.6162708545324,-9.97126358578405,1.37498590500869,-3.58069655483815,-53.3500536199386,19.3592642681686,33.8217088430375,-24.8678846365379,1.30423449151027,-25.2274708022505,-13.810828165219,3.16062591819884,19.5189769783036,-3.26669644378815,-43.8478539203859,-49.7248417117517,-22.3279095447093,-19.9981720917735,29.5971957501855,-20.3425061771519,-67.5297137818285,-16.1943533006709,7.62668698124924,15.1088002136559,15.0202811895427,-6.39696334791398,-4.0382858835856,15.8723711550031,12.366918952345,3.92458618750279,9.03308574955869,3.16844576695729,1.44353562111465,6.69214162199418,-0.605702182231562,-10.3822033001979,-5.13503600264051,-4.69336015720187,-3.79455679883147,-1.33560092768866,-5.22405290134545,7.63893215976949,-7.98142280396751,"2"
"X1084_T4",52.0766505627265,-47.8460589020164,-7.1771730605933,1.22396555879551,-10.2444432232777,-27.0592707148638,4.8386600807587,1.69383113686414,-3.399120791268,-6.27341241347997,5.52956467046845,13.1858592336877,-6.18237592638247,-10.0698884647954,-6.2461058547395,-7.62538344973728,-14.1594875766023,12.7120392627902,1.13017295961847,-5.77760602175064,5.96850012853295,-7.80278635917877,5.79688562863057,-18.3256795406317,8.58886440837771,-9.14557057481944,2.47272125695729,1.55249962769992,27.3175000281685,-0.298394959850585,-13.4294661683011,-0.08128390378509,15.2003430863505,-57.1384849977962,4.97387266799175,11.3665486938897,-17.7123901437,-14.7013885684756,42.1285660901616,47.1506171758236,-1.33619696735708,11.381994735712,-19.1856231559953,10.7688301430364,68.8805652629868,-34.7465174584629,-17.6602941997007,-0.496107374995327,-7.20488030592823,11.2416693764417,4.93852554596831,-0.669543108811225,"1"
"X1076_T4",37.4660126038731,122.420722130089,-11.2237365771961,50.166400129333,-28.820928157402,30.1765448935414,-95.3510498341594,-61.7943752792139,-74.4915323706435,-4.44690593301367,21.9597033654243,-5.65303085396535,-5.95102741857696,-0.923696089349951,-2.17851684150521,-16.3803333285065,-19.396347620033,-18.7718100213752,-2.16230543400321,-6.26215993739702,-4.42537867667965,-11.692861903113,-2.02919110086579,-6.10282918774844,9.13188378944708,-11.9424810286447,2.67939669747088,-2.77588563629632,-5.8188629986794,-1.28743361133207,-12.049121118021,8.2240069592582,-3.46571675216515,-6.32370129544247,-0.109249012521439,-2.87428307797072,3.13612558874083,-0.537133488823162,4.29325433727553,-3.19518732878867,1.24452025557344,-10.1858970515475,0.536522363576137,-1.25617416849097,-2.30563104002554,1.30484175564112,-6.61332834288888,0.722346994918403,0.862347191364601,-4.62643283345331,6.96063146556595,-8.1517815838511,"2"
"X1019_T4",51.8030104304602,-50.2416897635934,-6.31055755495298,-16.9975716062487,-5.68210967726692,-30.4242916189301,0.803580610388113,-6.94392046286892,-4.11639863308331,-1.38239191192453,-1.00211431766093,10.7083609320172,-6.50512181002467,3.78450632485088,-1.44425006526378,-5.32012934051624,4.15906140289009,5.08803787514853,2.86582961169636,7.39500701569235,3.9482189278655,-19.087343606167,-5.19276313300455,-2.00759654499169,1.70847308360838,-6.63255831375985,-0.522446303729833,2.76912509056026,14.7847241255706,8.6838761850963,9.7726641359924,14.0620778534967,17.3059053684088,-21.8071287661545,11.7026042056917,8.01822836369895,-3.08984401887485,28.5852528689542,35.0229452139987,17.3489769978244,28.7737350698119,-3.66244998887344,1.27098958585039,-71.822976450006,-65.0184562258765,-3.05401988346253,29.5213645503887,-20.7995727357818,19.9095579324486,3.50149077143719,5.26005224808724,-0.717705194129035,"1"
"X1029_T4",-74.27033328602,-7.46138903459993,-4.11796239325208,7.93142807965324,-32.2349567652799,2.87531202267847,1.630142445564,8.0799237822358,3.3383411488915,3.67570335970779,-3.65281686256954,7.07384578901907,-0.823701309821485,2.06171743672945,0.645992746728407,6.62148108546417,12.9559806945893,-1.84902155143347,4.24406100311118,10.9060847023485,-8.6850713058588,24.3848281979311,-2.73167890510879,22.4099795755926,22.4712500100088,-12.5607832319256,-16.002035513816,-11.6782447563388,-0.664092847671047,-7.22770228717528,14.7243439104849,-3.44383550057587,39.4330015704772,-10.270795023841,-79.1235366047381,-60.5109535469738,6.27936483718978,-15.8456777412081,43.5036932423812,-10.8717777688664,33.2302636789104,-5.21898548129877,-9.18247905435242,10.1895721688731,-12.7407206773394,8.66043435554925,-11.9671938685312,10.7419186816841,-1.97764716725636,-11.4812354702528,-8.08532430372868,5.36924456833897,"3"
"X1148_T4",32.8237038417313,95.1420444344778,-10.8688316884993,-60.0417943887862,25.2458348196788,-22.0376673983891,9.99782244194179,-1.40756640289457,8.27278029031957,-12.3660185733297,9.27004620925869,-1.12173955586068,1.79394824843141,-9.25960574122318,8.68666021632328,-7.81949097764839,18.1998487615043,-6.6371576085621,1.75693377357374,8.36582371996131,4.047727474529,0.813086024644503,-1.24904027921228,8.15343230247312,5.87461754404441,-21.4965916143641,3.91320147989433,2.81346788426715,-2.51115674631606,2.03818175244204,5.01129745116583,-11.4070883877238,-15.0259327329007,-20.8004258479083,26.490624201441,4.44938744675952,-24.2491953659536,-9.59174068742357,17.9539820543602,-65.0990630107185,32.849492822877,-29.3063949858285,8.7732709656177,10.9087603099699,18.1665650413717,1.51592610088747,-45.7956845841932,-12.2449938110778,42.003082712167,-5.66596073664186,7.47482713541101,-7.55959893759515,"2"
"X1145_T4",52.9794480431113,-49.6898834380544,-5.17116845355044,-12.0749598933197,1.25633225189188,-35.1424912516856,-5.15448937771783,5.62598748286292,-16.1678844762814,0.320695915606896,1.76063608538407,14.49303654987,-3.16681120390498,8.80155650729191,4.58035325247144,-29.7595046257815,-11.63238856641,25.4472443504135,-6.16649831284183,2.97733414021628,-3.70506835790463,-16.8500382762533,-17.2606275030164,13.3303275671033,-17.8346037425227,-21.4036250615329,41.3162578390573,16.5158682242219,-51.9976812015157,20.1924620018509,42.5279051792437,27.4714288866412,33.3808685278682,56.1916710106813,-11.2896899587252,35.5178424509264,18.40504960396,-25.7948582506437,19.7853695555168,-5.23244440513337,0.37000927056162,-6.19896317850655,-4.39261492607681,15.7751111223502,15.3478584680576,7.55688656683603,1.68814002079807,-6.13606523866376,-13.6168497059289,3.56948809600351,4.18575715138415,-0.193426116561327,"1"
"X1003_T4",36.3377120406716,114.164930894099,-12.5285294277652,20.1459556590066,-13.7521857428046,-2.43429783197892,-37.2921207452756,65.9002140050391,32.4846189443719,45.8430884103114,-27.0194030540497,34.8396524681613,28.6291062075278,72.984992202982,24.5989484247576,-27.2571906449348,27.7670198742957,-23.7040104794875,7.36805011275449,-27.4413007384575,7.17436755950435,-20.6976011189706,1.52464870795213,-7.91463236766966,-5.96045151782613,3.28363658306305,-3.9800156244589,-14.3464904548422,2.55602210027426,-13.9345113922671,-11.0025242584935,7.51801639926494,8.15275080796569,-7.21572668972633,2.33574028544287,6.09315194906976,-0.87313033323424,-3.70642602881398,-3.00197137333327,2.74471008114372,-5.89892080369703,-9.40329207507024,6.0233824175045,-2.16846591492037,2.7363686379376,-2.17873898384031,1.58572765915092,-4.35602146446337,-4.67563296827952,-0.0352441762640827,7.62920627718395,-8.17993751736345,"2"
"X1038_T4",51.5176699278453,-50.8624419276589,-4.27359211643799,-22.6971246240338,-6.25143061865889,-20.3729993563862,8.62735277094415,-11.9161402159249,-13.1857244373723,-9.16795550120322,1.81899625511379,-10.1084249296011,-6.33952543701456,2.72633302621533,6.76053786809243,-2.86064258319411,7.71349819778984,-5.30384751621364,1.23210189381142,11.1729596545138,-5.50225712705841,-22.6947160245859,-36.1872476686461,-5.53685448850914,-19.570870911193,-20.0736291071526,24.2821978149382,-23.6480453806416,33.7931912771058,-13.4937548439384,-9.15938065615474,-30.0858757635551,55.563433765568,-45.4045221532066,-13.6114689718981,7.8020912886172,27.1421857409231,8.99855904267848,-45.6402771332793,-37.9910661268186,-27.5644141778583,10.69545040253,24.364875754225,26.3838470012422,-9.52070436034754,1.2618634236523,20.17844554737,1.40657596901893,-9.15203093372881,-5.04774932266049,4.19200393318877,-0.791381707040275,"1"
"X1106_T4",55.1803200060182,-38.7547643072377,-4.59850214746369,44.1524326944179,-7.08937953467456,-15.7053586074788,-14.2994311122184,29.4384926622988,-11.6087632343128,-6.64947617719698,-3.62280508389571,4.1744387874178,-7.56440996400339,-18.1088407653991,-18.5700856501938,-35.2874351534607,-18.6002388857993,66.5098158269243,47.2813769752095,-13.1308760153278,5.40525786092558,15.3155867294506,42.3526181380634,27.8240184149887,13.2913904770287,-3.0002155020246,-66.3059668107928,-14.8112372200922,-1.20051732360718,-16.7088796562105,1.05056570278111,-18.1277973708568,10.6139946816224,5.80756606681529,11.1557953330865,18.7199235785899,-1.06428989290771,11.4211416796534,-16.8367131225976,-27.7171185761064,-6.31850735257708,7.54488502053012,-4.41263731356419,4.48694207482934,-6.64582936047024,7.73434669636051,-1.40207868059161,1.18772781123184,2.38433505793559,-1.32419930243514,4.95820521937553,-0.965937965865758,"1"
