"GeneID","Module"
"ENSG00000000457","blue"
"ENSG00000000938","red"
"ENSG00000001629","turquoise"
"ENSG00000001631","turquoise"
"ENSG00000002586","turquoise"
"ENSG00000002822","turquoise"
"ENSG00000002834","pink"
"ENSG00000003400","turquoise"
"ENSG00000003402","turquoise"
"ENSG00000003756","turquoise"
"ENSG00000004534","blue"
"ENSG00000004897","red"
"ENSG00000004939","red"
"ENSG00000005007","brown"
"ENSG00000005020","turquoise"
"ENSG00000005022","turquoise"
"ENSG00000005059","turquoise"
"ENSG00000005075","black"
"ENSG00000005156","yellow"
"ENSG00000005187","turquoise"
"ENSG00000005238","brown"
"ENSG00000005249","turquoise"
"ENSG00000005339","blue"
"ENSG00000005379","turquoise"
"ENSG00000005483","blue"
"ENSG00000005486","brown"
"ENSG00000005700","red"
"ENSG00000005810","turquoise"
"ENSG00000005844","turquoise"
"ENSG00000005882","red"
"ENSG00000005893","black"
"ENSG00000005961","turquoise"
"ENSG00000006007","blue"
"ENSG00000006125","turquoise"
"ENSG00000006459","brown"
"ENSG00000006534","turquoise"
"ENSG00000006555","brown"
"ENSG00000006652","brown"
"ENSG00000006715","turquoise"
"ENSG00000006756","yellow"
"ENSG00000007080","green"
"ENSG00000007168","blue"
"ENSG00000007202","turquoise"
"ENSG00000007237","blue"
"ENSG00000007255","green"
"ENSG00000007264","blue"
"ENSG00000007312","green"
"ENSG00000007520","turquoise"
"ENSG00000007545","turquoise"
"ENSG00000007944","pink"
"ENSG00000007968","red"
"ENSG00000008018","black"
"ENSG00000008083","turquoise"
"ENSG00000008130","turquoise"
"ENSG00000008282","turquoise"
"ENSG00000008294","turquoise"
"ENSG00000008438","yellow"
"ENSG00000008441","red"
"ENSG00000008513","red"
"ENSG00000008516","turquoise"
"ENSG00000008517","blue"
"ENSG00000008838","blue"
"ENSG00000008952","turquoise"
"ENSG00000008988","blue"
"ENSG00000009307","red"
"ENSG00000009335","turquoise"
"ENSG00000009413","blue"
"ENSG00000009790","turquoise"
"ENSG00000009954","blue"
"ENSG00000010244","black"
"ENSG00000010256","turquoise"
"ENSG00000010322","yellow"
"ENSG00000010404","blue"
"ENSG00000010810","turquoise"
"ENSG00000011028","yellow"
"ENSG00000011114","turquoise"
"ENSG00000011198","yellow"
"ENSG00000011275","turquoise"
"ENSG00000011295","red"
"ENSG00000011304","blue"
"ENSG00000011405","turquoise"
"ENSG00000011422","turquoise"
"ENSG00000011454","yellow"
"ENSG00000011600","blue"
"ENSG00000012660","turquoise"
"ENSG00000012779","yellow"
"ENSG00000013275","turquoise"
"ENSG00000013288","turquoise"
"ENSG00000013306","pink"
"ENSG00000013364","turquoise"
"ENSG00000013374","brown"
"ENSG00000013441","blue"
"ENSG00000013725","turquoise"
"ENSG00000013810","yellow"
"ENSG00000014216","turquoise"
"ENSG00000015133","blue"
"ENSG00000015171","turquoise"
"ENSG00000015285","blue"
"ENSG00000015475","turquoise"
"ENSG00000015479","turquoise"
"ENSG00000015676","yellow"
"ENSG00000017483","green"
"ENSG00000017797","blue"
"ENSG00000018189","blue"
"ENSG00000018280","turquoise"
"ENSG00000019582","turquoise"
"ENSG00000019995","blue"
"ENSG00000020633","turquoise"
"ENSG00000020922","blue"
"ENSG00000021355","turquoise"
"ENSG00000021574","turquoise"
"ENSG00000021776","green"
"ENSG00000022277","turquoise"
"ENSG00000022567","turquoise"
"ENSG00000022840","red"
"ENSG00000022976","blue"
"ENSG00000023041","blue"
"ENSG00000023191","turquoise"
"ENSG00000023228","blue"
"ENSG00000023287","black"
"ENSG00000023318","turquoise"
"ENSG00000023445","turquoise"
"ENSG00000023516","brown"
"ENSG00000023734","turquoise"
"ENSG00000023892","blue"
"ENSG00000023902","turquoise"
"ENSG00000023909","blue"
"ENSG00000024048","blue"
"ENSG00000024862","yellow"
"ENSG00000025293","turquoise"
"ENSG00000025708","brown"
"ENSG00000025770","green"
"ENSG00000025800","turquoise"
"ENSG00000026025","turquoise"
"ENSG00000026297","turquoise"
"ENSG00000026508","brown"
"ENSG00000026950","blue"
"ENSG00000027075","blue"
"ENSG00000027869","blue"
"ENSG00000028137","blue"
"ENSG00000028277","turquoise"
"ENSG00000028310","turquoise"
"ENSG00000029363","blue"
"ENSG00000029534","blue"
"ENSG00000029725","blue"
"ENSG00000030110","green"
"ENSG00000030582","blue"
"ENSG00000031003","green"
"ENSG00000031698","turquoise"
"ENSG00000031823","brown"
"ENSG00000032219","blue"
"ENSG00000033178","brown"
"ENSG00000033327","blue"
"ENSG00000033800","blue"
"ENSG00000033867","turquoise"
"ENSG00000034152","turquoise"
"ENSG00000034510","blue"
"ENSG00000034677","turquoise"
"ENSG00000034713","turquoise"
"ENSG00000035403","turquoise"
"ENSG00000035664","turquoise"
"ENSG00000035687","yellow"
"ENSG00000035862","brown"
"ENSG00000035928","blue"
"ENSG00000036257","turquoise"
"ENSG00000036448","yellow"
"ENSG00000036549","turquoise"
"ENSG00000037897","turquoise"
"ENSG00000038219","turquoise"
"ENSG00000038274","turquoise"
"ENSG00000038427","blue"
"ENSG00000039123","turquoise"
"ENSG00000039319","yellow"
"ENSG00000039650","turquoise"
"ENSG00000040341","brown"
"ENSG00000040933","turquoise"
"ENSG00000041357","blue"
"ENSG00000041802","blue"
"ENSG00000042493","turquoise"
"ENSG00000042753","pink"
"ENSG00000043093","brown"
"ENSG00000043143","blue"
"ENSG00000043462","blue"
"ENSG00000044446","green"
"ENSG00000044574","blue"
"ENSG00000046651","blue"
"ENSG00000047315","blue"
"ENSG00000047346","blue"
"ENSG00000047365","blue"
"ENSG00000047410","blue"
"ENSG00000047579","yellow"
"ENSG00000047597","turquoise"
"ENSG00000047644","turquoise"
"ENSG00000047849","yellow"
"ENSG00000047932","green"
"ENSG00000048028","turquoise"
"ENSG00000048392","turquoise"
"ENSG00000048405","turquoise"
"ENSG00000048471","blue"
"ENSG00000048544","blue"
"ENSG00000048649","blue"
"ENSG00000048707","turquoise"
"ENSG00000048740","blue"
"ENSG00000048828","turquoise"
"ENSG00000049239","turquoise"
"ENSG00000049249","turquoise"
"ENSG00000049618","brown"
"ENSG00000049656","turquoise"
"ENSG00000050344","turquoise"
"ENSG00000050405","red"
"ENSG00000051523","yellow"
"ENSG00000051620","turquoise"
"ENSG00000052841","blue"
"ENSG00000053254","turquoise"
"ENSG00000054116","turquoise"
"ENSG00000054118","blue"
"ENSG00000054267","blue"
"ENSG00000054282","brown"
"ENSG00000054523","blue"
"ENSG00000054611","turquoise"
"ENSG00000054654","blue"
"ENSG00000054967","brown"
"ENSG00000055070","brown"
"ENSG00000055163","turquoise"
"ENSG00000055208","yellow"
"ENSG00000055332","magenta"
"ENSG00000055483","turquoise"
"ENSG00000055609","blue"
"ENSG00000055917","yellow"
"ENSG00000055950","blue"
"ENSG00000056097","brown"
"ENSG00000056558","blue"
"ENSG00000056586","blue"
"ENSG00000057252","brown"
"ENSG00000057608","turquoise"
"ENSG00000057657","turquoise"
"ENSG00000057704","green"
"ENSG00000057757","blue"
"ENSG00000058091","red"
"ENSG00000058272","turquoise"
"ENSG00000058668","turquoise"
"ENSG00000058673","blue"
"ENSG00000059145","turquoise"
"ENSG00000059377","yellow"
"ENSG00000059728","turquoise"
"ENSG00000059804","blue"
"ENSG00000060138","red"
"ENSG00000060237","blue"
"ENSG00000060339","blue"
"ENSG00000060491","turquoise"
"ENSG00000060971","yellow"
"ENSG00000061273","turquoise"
"ENSG00000061936","blue"
"ENSG00000061938","blue"
"ENSG00000062194","blue"
"ENSG00000062282","brown"
"ENSG00000062650","blue"
"ENSG00000062716","brown"
"ENSG00000063177","blue"
"ENSG00000063244","blue"
"ENSG00000063245","turquoise"
"ENSG00000063854","turquoise"
"ENSG00000064012","blue"
"ENSG00000064115","black"
"ENSG00000064201","turquoise"
"ENSG00000064313","yellow"
"ENSG00000064393","blue"
"ENSG00000064419","blue"
"ENSG00000064547","turquoise"
"ENSG00000064601","turquoise"
"ENSG00000064607","green"
"ENSG00000064666","turquoise"
"ENSG00000064687","green"
"ENSG00000064932","turquoise"
"ENSG00000064995","black"
"ENSG00000065000","turquoise"
"ENSG00000065135","blue"
"ENSG00000065243","blue"
"ENSG00000065357","blue"
"ENSG00000065413","turquoise"
"ENSG00000065427","turquoise"
"ENSG00000065457","turquoise"
"ENSG00000065518","black"
"ENSG00000065526","pink"
"ENSG00000065548","brown"
"ENSG00000065613","blue"
"ENSG00000065615","blue"
"ENSG00000065675","turquoise"
"ENSG00000065809","turquoise"
"ENSG00000065882","turquoise"
"ENSG00000065883","turquoise"
"ENSG00000065970","turquoise"
"ENSG00000065978","red"
"ENSG00000066027","turquoise"
"ENSG00000066117","green"
"ENSG00000066136","turquoise"
"ENSG00000066294","turquoise"
"ENSG00000066336","blue"
"ENSG00000066379","turquoise"
"ENSG00000066422","green"
"ENSG00000066427","black"
"ENSG00000066654","blue"
"ENSG00000066777","turquoise"
"ENSG00000066926","red"
"ENSG00000066933","blue"
"ENSG00000067048","blue"
"ENSG00000067066","brown"
"ENSG00000067082","blue"
"ENSG00000067141","brown"
"ENSG00000067167","turquoise"
"ENSG00000067182","turquoise"
"ENSG00000067191","turquoise"
"ENSG00000067208","blue"
"ENSG00000067225","turquoise"
"ENSG00000067248","blue"
"ENSG00000067334","green"
"ENSG00000067560","brown"
"ENSG00000067596","blue"
"ENSG00000067704","turquoise"
"ENSG00000067829","turquoise"
"ENSG00000067836","blue"
"ENSG00000067900","blue"
"ENSG00000067955","turquoise"
"ENSG00000068028","blue"
"ENSG00000068120","grey"
"ENSG00000068305","brown"
"ENSG00000068308","turquoise"
"ENSG00000068323","turquoise"
"ENSG00000068354","brown"
"ENSG00000068366","black"
"ENSG00000068400","blue"
"ENSG00000068650","blue"
"ENSG00000068697","turquoise"
"ENSG00000068796","turquoise"
"ENSG00000068831","yellow"
"ENSG00000068878","red"
"ENSG00000068903","turquoise"
"ENSG00000068971","yellow"
"ENSG00000069275","turquoise"
"ENSG00000069329","blue"
"ENSG00000069345","turquoise"
"ENSG00000069399","turquoise"
"ENSG00000069424","turquoise"
"ENSG00000069493","turquoise"
"ENSG00000069667","turquoise"
"ENSG00000069849","turquoise"
"ENSG00000069974","brown"
"ENSG00000070081","brown"
"ENSG00000070182","red"
"ENSG00000070190","black"
"ENSG00000070214","turquoise"
"ENSG00000070269","black"
"ENSG00000070367","brown"
"ENSG00000070413","turquoise"
"ENSG00000070423","turquoise"
"ENSG00000070444","turquoise"
"ENSG00000070501","brown"
"ENSG00000070610","black"
"ENSG00000070614","blue"
"ENSG00000070731","turquoise"
"ENSG00000070756","blue"
"ENSG00000070759","turquoise"
"ENSG00000070761","turquoise"
"ENSG00000070831","black"
"ENSG00000070950","turquoise"
"ENSG00000070961","pink"
"ENSG00000071054","blue"
"ENSG00000071073","turquoise"
"ENSG00000071082","red"
"ENSG00000071127","turquoise"
"ENSG00000071189","turquoise"
"ENSG00000071243","black"
"ENSG00000071537","blue"
"ENSG00000071553","turquoise"
"ENSG00000071575","turquoise"
"ENSG00000071626","yellow"
"ENSG00000071894","blue"
"ENSG00000072042","blue"
"ENSG00000072062","black"
"ENSG00000072110","blue"
"ENSG00000072135","yellow"
"ENSG00000072364","turquoise"
"ENSG00000072401","turquoise"
"ENSG00000072501","brown"
"ENSG00000072518","blue"
"ENSG00000072736","turquoise"
"ENSG00000072778","blue"
"ENSG00000072786","blue"
"ENSG00000072818","green"
"ENSG00000072858","turquoise"
"ENSG00000072864","turquoise"
"ENSG00000072952","turquoise"
"ENSG00000072958","blue"
"ENSG00000073050","turquoise"
"ENSG00000073150","yellow"
"ENSG00000073331","blue"
"ENSG00000073584","green"
"ENSG00000073614","blue"
"ENSG00000073756","yellow"
"ENSG00000073792","turquoise"
"ENSG00000073803","turquoise"
"ENSG00000073849","turquoise"
"ENSG00000073910","brown"
"ENSG00000073921","turquoise"
"ENSG00000074071","turquoise"
"ENSG00000074201","blue"
"ENSG00000074370","brown"
"ENSG00000074416","pink"
